battle,link,date,coordinates
Battle of Uchide-hama,https://en.wikipedia.org/wiki/Battle_of_Uchide-hama,1582 AD,34.73371389°N 135.31523389°E
Battle of Chuvash Cape,https://en.wikipedia.org/wiki/Battle_of_Chuvash_Cape,1582 AD,58.183°N 68.250°E
Battle of Shizugatake,https://en.wikipedia.org/wiki/Battle_of_Shizugatake,1583 AD,35.505917°N 136.192722°E
Battle of Komaki and Nagakute,https://en.wikipedia.org/wiki/Battle_of_Komaki_and_Nagakute,1584 AD,35.18611°N 137.05528°E
Siege of IJsseloord,https://en.wikipedia.org/wiki/Siege_of_IJsseloord,1585 AD,51.972219°N 5.953522°E
Battle of Zutphen,https://en.wikipedia.org/wiki/Battle_of_Zutphen,1586 AD,52.133°N 6.200°E
Battle of Vimory,https://en.wikipedia.org/wiki/Battle_of_Vimory,1587 AD,47.943°N 2.677°E
Battle of Byczyna,https://en.wikipedia.org/wiki/Battle_of_Byczyna,1588 AD,51.11333°N 18.26250°E
Battle of Bhuchar Mori,https://en.wikipedia.org/wiki/Battle_of_Bhuchar_Mori,1591 AD,22.582°N 70.400°E
Battle of Flores (1591),https://en.wikipedia.org/wiki/Battle_of_Flores_(1591),1591 AD,39.51194°N 31.18194°W
Battle of Ch'ungju,https://en.wikipedia.org/wiki/Battle_of_Ch%27ungju,1592 AD,36.967°N 127.950°E
Battle of Okpo,https://en.wikipedia.org/wiki/Battle_of_Okpo,1592 AD,34.8942°N 128.6885°E
Battle of Hansan Island,https://en.wikipedia.org/wiki/Battle_of_Hansan_Island,1592 AD,34.7622°N 128.5025°E
Siege of Pyongyang,https://en.wikipedia.org/wiki/Siege_of_Pyongyang_(1592),1592 AD,39.0300000°N 125.7300000°E
Siege of Jinju,https://en.wikipedia.org/wiki/Siege_of_Jinju_(1592),1592 AD,35.189°N 128.077°E
Battle of Haengju,https://en.wikipedia.org/wiki/Battle_of_Haengju,1593 AD,37.59556°N 126.82889°E
Battle of Sisak,https://en.wikipedia.org/wiki/Battle_of_Sisak,1593 AD,45.47056°N 16.38611°E
Campaign of Danture,https://en.wikipedia.org/wiki/Campaign_of_Danture,1594 AD,7.28194°N 80.54083°E
Battle of Glenlivet,https://en.wikipedia.org/wiki/Battle_of_Glenlivet,1594 AD,57.348964°N 3.251002°W
