battle,link,date
Battle of Thermopylae (323 BC),https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(323_BC),323 BC
Siege of Lamia,https://en.wikipedia.org/wiki/Siege_of_Lamia,322 BC
Battle of Amorgos,https://en.wikipedia.org/wiki/Battle_of_Amorgos,322 BC
Battle of Echinades,https://en.wikipedia.org/wiki/Battle_of_the_Echinades_(322_BC),322 BC
Battle of Crannon,https://en.wikipedia.org/wiki/Battle_of_Crannon,322 BC
Battle of the Caudine Forks,https://en.wikipedia.org/wiki/Battle_of_the_Caudine_Forks,321 BC
Battle of the Hellespont (321 BC),https://en.wikipedia.org/wiki/Battle_of_the_Hellespont_(321_BC),321 BC
Battle of Orkynia,https://en.wikipedia.org/wiki/Battle_of_Orkynia,319 BC
Battle of Cretopolis,https://en.wikipedia.org/wiki/Battle_of_Cretopolis,319 BC
Siege of Megalopolis,https://en.wikipedia.org/wiki/Siege_of_Megalopolis,317 BC
Battle of Byzantium,https://en.wikipedia.org/wiki/Battle_of_Byzantium,317 BC
Battle of Paraitakene,https://en.wikipedia.org/wiki/Battle_of_Paraitakene,317 BC
Battle of Lautulae,https://en.wikipedia.org/wiki/Battle_of_Lautulae,315 BC
Battle of Gabiene,https://en.wikipedia.org/wiki/Battle_of_Gabiene,315 BC
Battle of Gaza,https://en.wikipedia.org/wiki/Battle_of_Gaza_(312_BC),312 BC
Battle of Himera,https://en.wikipedia.org/wiki/Battle_of_the_Himera_River_(311_BC),311 BC
First Siege of Babylon (311 BC),https://en.wikipedia.org/wiki/First_Siege_of_Babylon_(311_BC),311 BC
Battle of the Tigris,https://en.wikipedia.org/wiki/Battle_of_the_Tigris,311 BC
Battle of Lake Vadimo,https://en.wikipedia.org/wiki/Battle_of_Lake_Vadimo_(310_BC),310 BC
Second Siege of Babylon (310 BC),https://en.wikipedia.org/wiki/Second_Siege_of_Babylon_(310_BC),310 BC
Battle of the River Thatis,https://en.wikipedia.org/wiki/Battle_of_the_River_Thatis,310 BC
Battle of White Tunis,https://en.wikipedia.org/wiki/Battle_of_White_Tunis,310 BC
Siege of Syracuse,https://en.wikipedia.org/wiki/Siege_of_Syracuse_(311%E2%80%93309_BC),310 BC
Third Siege of Babylon (309 BC),https://en.wikipedia.org/wiki/Third_Siege_of_Babylon_(309_BC),309 BC
Battle of the 25 of Abu,https://en.wikipedia.org/wiki/Battle_of_the_25_of_Abu,309 BC
Siege of Siracena,https://en.wikipedia.org/wiki/Siege_of_Siracena,309 BC
Battle of Lake Maeotis,https://en.wikipedia.org/wiki/Battle_of_Lake_Maeotis,309 BC
Battle of Salamis in Cyprus (306 BC),https://en.wikipedia.org/wiki/Battle_of_Salamis_in_Cyprus_(306_BC),306 BC
Battle of Bovianum,https://en.wikipedia.org/wiki/Battle_of_Bovianum,305 BC
Siege of Rhodes (305 BC),https://en.wikipedia.org/wiki/Siege_of_Rhodes_(305_BC),305-304 BC
Battle of Ipsus,https://en.wikipedia.org/wiki/Battle_of_Ipsus,301 BC
Battle of Camerinum,https://en.wikipedia.org/wiki/Battle_of_Camerinum,298 BC
Battle of Tifernum,https://en.wikipedia.org/wiki/Battle_of_Tifernum,297 BC
Battle of Sentinum,https://en.wikipedia.org/wiki/Battle_of_Sentinum,295 BC
Battle of Aquilonia,https://en.wikipedia.org/wiki/Battle_of_Aquilonia,293 BC
Battle of Yique,https://en.wikipedia.org/wiki/Battle_of_Yique,293 BC
Siege of Thebes,https://en.wikipedia.org/wiki/Siege_of_Thebes_(292%E2%80%93291_BC),291 BC
Siege of Athens (287 BC),https://en.wikipedia.org/wiki/Siege_of_Athens_(287_BC),287 BC
Battle of Arretium,https://en.wikipedia.org/wiki/Battle_of_Arretium,284 BC
Battle of Lake Vadimo,https://en.wikipedia.org/wiki/Battle_of_Lake_Vadimo_(283_BC),283 BC
Battle of Populonia,https://en.wikipedia.org/wiki/Battle_of_Populonia,282 BC
Battle of Corupedium,https://en.wikipedia.org/wiki/Battle_of_Corupedium,281 BC
Battle of Heraclea,https://en.wikipedia.org/wiki/Battle_of_Heraclea,280 BC
Battle of Asculum,https://en.wikipedia.org/wiki/Battle_of_Asculum,279 BC
Battle of Thermopylae (279 BC),https://en.wikipedia.org/wiki/Battle_of_Thermopylae_(279_BC),279 BC
Attack on Delphi,https://en.wikipedia.org/wiki/Brennus_(3rd_century_BC),279 BC
Siege of Syracuse (278 BC),https://en.wikipedia.org/wiki/Siege_of_Syracuse_(278_BC),278 BC
Siege of Lilybaeum,https://en.wikipedia.org/wiki/Siege_of_Lilybaeum_(278_BC),278 BC
Battle of Lysimachia,https://en.wikipedia.org/wiki/Battle_of_Lysimachia,277 BC
Battle of the Cranita hills,https://en.wikipedia.org/wiki/Battle_of_the_Cranita_hills,277 BC
Battle of Beneventum,https://en.wikipedia.org/wiki/Battle_of_Beneventum_(275_BC),275 BC
Battle of the Aous,https://en.wikipedia.org/wiki/Battle_of_the_Aous_(274_BC),274 BC
Siege of Sparta,https://en.wikipedia.org/wiki/Siege_of_Sparta,272 BC
Battle of Argos,https://en.wikipedia.org/wiki/Battle_of_Argos,272 BC
Battle of Messana,https://en.wikipedia.org/wiki/Battle_of_Messana,264 BC
Battle of Agrigentum,https://en.wikipedia.org/wiki/Battle_of_Agrigentum,262 BC
Battle of Cos,https://en.wikipedia.org/wiki/Battle_of_Cos,261 BC
Battle of Kalinga,https://en.wikipedia.org/wiki/Kalinga_War,261 BC
Battle of Changping,https://en.wikipedia.org/wiki/Battle_of_Changping,260 BC
Battle of the Lipara Islands,https://en.wikipedia.org/wiki/Battle_of_the_Lipara_Islands,260 BC
Battle of Mylae,https://en.wikipedia.org/wiki/Battle_of_Mylae,260 BC
Battle of Ephesus,https://en.wikipedia.org/wiki/Battle_of_Ephesus_(ca._258_BC),258 BC
Battle of Sulci,https://en.wikipedia.org/wiki/Battle_of_Sulci,258 BC
Battle of Tyndaris,https://en.wikipedia.org/wiki/Battle_of_Tyndaris,257 BC
Battle of Handan,https://en.wikipedia.org/wiki/Battle_of_Handan,257 BC
Battle of Cape Ecnomus,https://en.wikipedia.org/wiki/Battle_of_Cape_Ecnomus,256 BC
Siege of Aspis,https://en.wikipedia.org/wiki/Siege_of_Aspis,255 BC
Battle of Adys,https://en.wikipedia.org/wiki/Battle_of_Adys,255 BC
Battle of Tunis,https://en.wikipedia.org/wiki/Battle_of_Tunis,255 BC
Battle of Panormus,https://en.wikipedia.org/wiki/Battle_of_Panormus,251 BC
Siege of Lilybaeum (250–241 BC),https://en.wikipedia.org/wiki/Siege_of_Lilybaeum_(250%E2%80%93241_BC),250 BC
Battle of Drepana,https://en.wikipedia.org/wiki/Battle_of_Drepana,249 BC
Battle of Phintias,https://en.wikipedia.org/wiki/Battle_of_Phintias,249 BC
Siege of Drepana,https://en.wikipedia.org/wiki/Siege_of_Drepana,248 BC
Battle of Andros,https://en.wikipedia.org/wiki/Battle_of_Andros_(246_BC),246 BC
